"filename", "language", "Dart", "comment", "blank", "total"
"/Users/Projects/Flutter/grow_run_v1/lib/core/error/exceptions.dart", "Dart", 6, 11, 6, 23
"/Users/Projects/Flutter/grow_run_v1/lib/core/error/failures.dart", "Dart", 55, 39, 13, 107
"/Users/Projects/Flutter/grow_run_v1/lib/core/usecases/usecases.dart", "Dart", 10, 0, 4, 14
"/Users/Projects/Flutter/grow_run_v1/lib/core/util/clothing_util.dart", "Dart", 1, 4, 2, 7
"/Users/Projects/Flutter/grow_run_v1/lib/core/util/gender.dart", "Dart", 1, 3, 1, 5
"/Users/Projects/Flutter/grow_run_v1/lib/core/util/goal_util.dart", "Dart", 2, 8, 3, 13
"/Users/Projects/Flutter/grow_run_v1/lib/core/util/privallge_util.dart", "Dart", 22, 16, 2, 40
"/Users/Projects/Flutter/grow_run_v1/lib/core/util/school_util.dart", "Dart", 5, 7, 3, 15
"/Users/Projects/Flutter/grow_run_v1/lib/core/util/trophy_util.dart", "Dart", 1, 6, 2, 9
"/Users/Projects/Flutter/grow_run_v1/lib/core/util/user_type_util.dart", "Dart", 9, 1, 1, 11
"/Users/Projects/Flutter/grow_run_v1/lib/core/util/util.dart", "Dart", 7, 0, 1, 8
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/datasources/datasources.dart", "Dart", 2, 1, 2, 5
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/datasources/local/local_datasource.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/datasources/remote/firebase/grow_remote_datasoure.dart", "Dart", 131, 44, 18, 193
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/admin/admin_model.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/background/background_model.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/child/child_model.dart", "Dart", 33, 14, 5, 52
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/child/child_model.freezed.dart", "Dart", 341, 14, 33, 388
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/child/child_model.g.dart", "Dart", 69, 4, 9, 82
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/clothing/clothing_model.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/goal/goal_model.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/models_bucket.dart", "Dart", 9, 0, 1, 10
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/parent/parent_model.dart", "Dart", 31, 14, 4, 49
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/parent/parent_model.freezed.dart", "Dart", 291, 14, 33, 338
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/parent/parent_model.g.dart", "Dart", 68, 4, 9, 81
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/route/route_model.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/school/school_model.dart", "Dart", 29, 2, 5, 36
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/school/school_model.freezed.dart", "Dart", 278, 14, 32, 324
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/school/school_model.g.dart", "Dart", 63, 4, 9, 76
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/trophy/trophy_model.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/user/user_model.dart", "Dart", 9, 6, 3, 18
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/models/user/user_model.freezed.dart", "Dart", 120, 14, 26, 160
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/repositories/authentication_repository.dart", "Dart", 87, 16, 13, 116
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/repositories/child_repository.dart", "Dart", 96, 20, 14, 130
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/repositories/grow_repository.dart", "Dart", 10, 4, 3, 17
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/repositories/parent_repository.dart", "Dart", 85, 17, 11, 113
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/data/repositories/repository_mixins.dart", "Dart", 18, 6, 3, 27
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/admin/admin_entity.dart", "Dart", 10, 6, 5, 21
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/background/background_entity.dart", "Dart", 17, 1, 4, 22
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/background/background_entity.freezed.dart", "Dart", 225, 14, 27, 266
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/child/child_entity.dart", "Dart", 23, 11, 11, 45
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/clothing/clothing_entity.dart", "Dart", 14, 1, 2, 17
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/clothing/clothing_entity.freezed.dart", "Dart", 224, 14, 27, 265
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/entities_bucket.dart", "Dart", 11, 0, 1, 12
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/entity.dart", "Dart", 14, 4, 4, 22
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/goal/goal_entity.dart", "Dart", 17, 0, 2, 19
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/goal/goal_entity.freezed.dart", "Dart", 273, 14, 27, 314
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/parent/parent_entity.dart", "Dart", 18, 9, 9, 36
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/route/route_entity.dart", "Dart", 13, 2, 2, 17
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/route/route_entity.freezed.dart", "Dart", 194, 14, 27, 235
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/school/school_entity.dart", "Dart", 17, 7, 7, 31
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/trophy/trophy_entity.dart", "Dart", 19, 2, 7, 28
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/trophy/trophy_entity.freezed.dart", "Dart", 239, 14, 33, 286
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/trophy/trophy_entity.g.dart", "Dart", 62, 4, 9, 75
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/entities/user/user_entity.dart", "Dart", 9, 7, 4, 20
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/repositories/authentication_repository.dart", "Dart", 13, 18, 7, 38
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/repositories/child_repository.dart", "Dart", 12, 15, 7, 34
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/repositories/grow_repository.dart", "Dart", 8, 3, 2, 13
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/repositories/parent_repository.dart", "Dart", 10, 13, 6, 29
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/disable_child_acc.dart", "Dart", 24, 8, 7, 39
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/edit_child.dart", "Dart", 21, 7, 6, 34
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/enable_child_acc.dart", "Dart", 25, 8, 7, 40
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/get_children.dart", "Dart", 21, 7, 6, 34
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/get_children_by_id.dart", "Dart", 23, 8, 8, 39
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/get_children_by_school.dart", "Dart", 24, 10, 8, 42
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/register_new_child_user.dart", "Dart", 48, 22, 12, 82
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/child/sign_up_new_child_user.dart", "Dart", 45, 18, 12, 75
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/mixins.dart", "Dart", 24, 0, 3, 27
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/disable_parent_account.dart", "Dart", 20, 7, 7, 34
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/edit_parent.dart", "Dart", 21, 7, 6, 34
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/enable_parent_account.dart", "Dart", 22, 7, 7, 36
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/get_parent_by_id.dart", "Dart", 23, 8, 6, 37
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/get_parents.dart", "Dart", 21, 5, 5, 31
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/register_new_parent_user.dart", "Dart", 44, 10, 8, 62
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/parent/sign_up_new_parent.dart", "Dart", 44, 8, 9, 61
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/user_login.dart", "Dart", 22, 6, 8, 36
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/domain/usecases/user_sign_out.dart", "Dart", 19, 4, 5, 28
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/cubit/child_sign_up_cubit.dart", "Dart", 58, 0, 3, 61
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/cubit/child_sign_up_state.dart", "Dart", 8, 0, 2, 10
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/cubit/child_sign_up_state.freezed.dart", "Dart", 133, 14, 29, 176
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/pages/sign_up/sign_up_page.dart", "Dart", 18, 2, 4, 24
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/widgets/form_group/sign_up_form_group.dart", "Dart", 28, 16, 4, 48
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/widgets/form_widget/form_widget_1.dart", "Dart", 31, 3, 3, 37
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/widgets/form_widget/form_widget_2.dart", "Dart", 26, 2, 3, 31
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/child/widgets/form_widget/form_widget_3.dart", "Dart", 27, 2, 3, 32
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/pages/sign_up_page_child.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/constant_colors.dart", "Dart", 22, 17, 17, 56
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/constant_sizes.dart", "Dart", 2, 3, 3, 8
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/default_ui_elements.dart", "Dart", 19, 3, 4, 26
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/form_group/login_group.dart", "Dart", 8, 2, 2, 12
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/form_inputs/form_input_controllers.dart", "Dart", 86, 10, 11, 107
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/form_inputs/form_input_types.dart", "Dart", 13, 0, 1, 14
"/Users/Projects/Flutter/grow_run_v1/lib/features/grow/presentation/widgets/form_inputs/form_number_inputs.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/lib/main.dart", "Dart", 64, 1, 11, 76
"Total", "-", 4365, 705, 740, 5810